Stock,Name,Count,Volume,Cost,Yesterday,First,LastTradePrice,LastTradeChange,LastTradePercent,AvgPrice,AvgChange,AvgPercent,LowestPrice,HighestPrice,EPS,PE,BuyCount,BuyVolume,BuyPrice,SellCount,SellVolume,SellPrice
خكمك,كمك‌فنرايندامين‌,732,42635266,124527372116,2793,2802,2932,139,4.98,2921,128,4.58,2802,2932,-116,-25.18,426,40497155,2932,2939,2157,1
سدور,سيمان‌ دورود,724,4383475,53056297510,11960,12290,12120,160,1.34,12100,140,1.17,11950,12490,258,46.9,0,0,0,0,0,0
قشكر,شكرشاهرود,723,14348447,46038608753,3351,3218,3300,-51,-1.52,3209,-142,-4.24,3184,3339,-182,-17.63,1,173787,3300,3330,23300,2
وصنعت,سرمايه گذاري توسعه صنعت وتجارت,720,14411700,35497425143,2379,2397,2489,110,4.62,2463,84,3.53,2340,2509,461,5.34,1,150000,2479,2490,29850,3
لسرما,سرما آفرين‌,717,1258732,41558206270,32700,33280,33000,300,0.92,33020,320,0.98,32000,33700,904,36.53,1,9000,32700,33000,1113,2
ونيكي,سرمايه‌گذاري‌ ملي‌ايران‌,715,5605012,46255001400,8090,8130,8340,250,3.09,8160,70,0.87,8040,8370,817,9.99,1,10000,8330,8340,60040,1
تجلي,تجلي توسعه معادن و فلزات,714,17323602,37096304286,2135,2147,2150,15,0.7,2141,6,0.28,2132,2188,82,26.11,4,67083,2145,2150,267337,2
سخاش,سيمان‌خاش‌,709,383353,33571418720,90450,89450,88020,-2430,-2.69,87570,-2880,-3.18,86750,90450,11611,7.54,2,7104,87510,88270,1000,1
كترام,توليدي‌ كاشي‌ تكسرام‌,693,2513147,44689635500,17430,17800,17600,170,0.98,17780,350,2.01,17120,18200,892,19.93,2,33949,17600,17680,46772,1
سبهان,سيمان‌ بهبهان‌,692,733652,63645401660,86690,84000,86000,-690,-0.8,86750,60,0.07,84000,88900,7359,11.79,0,0,0,0,0,0
حسير,ريل سير كوثر,692,2943621,50616172560,16650,16850,17380,730,4.38,17200,550,3.3,16500,17500,3502,4.91,1,6000,17350,17420,20000,1
بكام,كارخانجات توليدي شهيد قندي,686,14831442,73475375169,4645,4860,4970,325,7,4954,309,6.65,4682,4970,0,0,212,13007367,4970,4980,1100,1
شنفت,نفت‌ پارس‌,685,5146842,51788757470,9850,9820,10150,300,3.05,9990,140,1.42,9710,10270,1077,9.28,1,1000,10130,10170,20463,1
وهور,مديريت انرژي اميد  تابان هور,684,20102360,33914480268,1620,1640,1701,81,5,1687,67,4.14,1639,1701,47,35.89,1,3000,1695,1701,205800,3
وخاور,بانك خاورميانه,683,9910435,53071288810,5270,5280,5500,230,4.36,5330,60,1.14,5220,5530,705,7.56,1,10000,5460,5500,420000,3
سپاها,سيمان‌سپاهان‌,676,2956494,61510491630,20730,20510,20800,70,0.34,20810,80,0.39,20340,21470,2435,8.55,1,9999,20790,20800,71763,4
آواپارس,بيمه اتكايي آواي پارس70% تاديه,674,14160450,27212900690,1908,1940,1912,4,0.21,1922,14,0.73,1902,1959,211,9.11,1,55411,1911,1918,640,1
غكورش,صنعت غذايي كورش,673,4818546,78783227100,15580,16350,16350,770,4.94,16350,770,4.94,16350,16350,2055,7.96,558,29511618,16350,16720,503,1
دسبحان,سبحان دارو,669,13345362,139132316690,9940,10420,10430,490,4.93,10430,490,4.93,10220,10430,1047,9.96,12,366522,10430,0,0,0
زمگسا,كشاورزي‌ ودامپروي‌ مگسال‌,666,1130913,50154421440,43690,45430,44450,760,1.74,44350,660,1.51,43430,45430,3260,13.6,1,3803,44380,44500,7750,1
وصندوق,سرمايه‌گذاري‌صندوق‌بازنشستگي‌,660,4162996,93136384750,22640,22400,22220,-420,-1.86,22430,-210,-0.93,22020,23000,2447,9.17,3,110000,22210,22370,60000,2
